;Template;Tube_label;tm;Size;Fw;Rv;;;;;;;;
1;ScBTX20 gDNA;CAX4.up;60C;0.2kb;BTX.124;BTX.125;;;;;;;;
2;ScBTX20 gDNA;CAX4.dw;60C;0.2kb;BTX.126;BTX.127;;;;;;;;
3;ScBTX20 gDNA;GLR1.up;60C;0.2kb;BTX.132;BTX.133;;;;;;;;
4;ScBTX20 gDNA;GLR1.dw;60C;0.2kb;BTX.134;BTX.135;;;;;;;;
5;ScBTX20 gDNA;HEM25.up;60C;0.2kb;BTX.116;BTX.117;;;;;;;;
6;ScBTX20 gDNA;HEM25.dw;60C;0.2kb;BTX.118;BTX.119;;;;;;;;
7;ScBTX20 gDNA;KGD2.up;60C;0.22kb;BTX.112;BTX.113;;;;;;;;
8;ScBTX20 gDNA;KGD2.dw;60C;0.2kb;BTX.114;BTX.115;;;;;;;;
9;ScBTX20 gDNA;PDX3.up;60C;0.2kb;BTX.136;BTX.137;;;;;;;;
10;ScBTX20 gDNA;PDX3.dw;60C;0.2kb;BTX.138;BTX.139;;;;;;;;
11;ScBTX20 gDNA;PRO2.up;60C;0.2kb;BTX.128;BTX.129;;;;;;;;
12;ScBTX20 gDNA;PRO2.dw;60C;0.2kb;BTX.130;BTX.131;;;;;;;;
13;ScBTX20 gDNA;VMA16.up;60C;0.2kb;BTX.120;BTX.121;;;;;;;;
14;ScBTX20 gDNA;VMA16.dw;60C;0.2kb;BTX.122;BTX.123;;;;;;;;
15;ScBTX20 gDNA;YSY6.up;60C;0.2kb;BTX.140;BTX.141;;;;;;;;
16;ScBTX20 gDNA;YSY6.dw;60C;0.2kb;BTX.142;BTX.143;;;;;;;;
17;ScBTX20 gDNA;PRY1.up;60C;0.2kb;BTX.161;BTX.162;;;;;;;;
18;ScBTX20 gDNA;PRY1.dw;60C;0.2kb;BTX.163;BTX.164;;;;;;;;
19;ScBTX20 gDNA;GET4.up;60C;0.2kb;BTX.165;BTX.166;;;;;;;;
20;ScBTX20 gDNA;GET4.dw;60C;0.2kb;BTX.167;BTX.168;;;;;;;;
21;ScBTX20 gDNA;CMG1.up;60C;0.2kb;BTX.169;BTX.170;;;;;;;;
22;ScBTX20 gDNA;CMG1.dw;60C;0.2kb;BTX.171;BTX.172;;;;;;;;
23;ScBTX20 gDNA;YCR101C.up;60C;0.2kb;BTX.173;BTX.174;;;;;;;;
24;ScBTX20 gDNA;YCR101C.dw;60C;0.2kb;BTX.175;BTX.176;;;;;;;;
25;ScBTX20 gDNA;STV1.up;60C;0.2kb;BTX.177;BTX.178;;;;;;;;
26;ScBTX20 gDNA;STV1.dw;60C;0.2kb;BTX.179;BTX.180;;;;;;;;
27;ScBTX20 gDNA;pTEF::KanMX::tTef_1;60C;1.5kb;BTX.110;BTX.111;;;;;;;;
28;ScBTX20 gDNA;pTEF::KanMX::tTef_2;60C;1.5kb;BTX.110;BTX.111;;;;;;;;
29;ScBTX20 gDNA;pTEF::KanMX::tTef_3;60C;1.5kb;BTX.110;BTX.111;;;;;;;;
30;ScBTX20 gDNA;CAX4_CDS;60C;2.06kb;BTX.125;BTX.126;;;;;;;;
31;ScBTX20 gDNA;GLR1_CDS;60C;2.46kb;BTX.132;BTX.135;;;;;;;;
32;ScBTX20 gDNA;HEM25_CDS;60C;2.11kb;BTX.117;BTX.118;;;;;;;;
33;ScBTX20 gDNA;KGD2_CDS;60C;2.22kb;BTX.113;BTX.114;;;;;;;;
34;ScBTX20 gDNA;PDX3_CDS;60C;1.19kb;BTX.141;BTX.142;;;;;;;;
35;ScBTX20 gDNA;PRO2_CDS;60C;2.35kb;BTX.129;BTX.130;;;;;;;;
36;ScBTX20 gDNA;VMA16_CDS;60C;1.37kb;BTX.120;BTX.123;;;;;;;;
37;ScBTX20 gDNA;YSY6_CDS;60C;0.99kb;BTX.136;BTX.139;;;;;;;;
